SK_ID_CURR,TARGET
100001,0.07779964839383735
100005,0.10040149035340346
100013,0.0837807552228549
100028,0.07904222942433684
100038,0.10152740275403954
100042,0.07292691636012825
100057,0.08981998018806481
100065,0.09091265982212386
100066,0.06851537017563723
100067,0.08606011862472243
100074,0.07620476797002192
100090,0.09779421037565664
100091,0.0947108098576396
100092,0.09326369388008329
100106,0.10127038339549013
100107,0.08892734097313547
100109,0.09451193680943913
100117,0.08525433527280869
100128,0.07563239290929798
100141,0.09290687921314016
100150,0.0784903462226446
100168,0.0746190201629637
100169,0.0635331957557714
100170,0.08298872477013051
100171,0.09409570741460639
100172,0.10118855834615792
100184,0.07758159620535757
100187,0.07380425536346154
100212,0.08535846297285554
100222,0.09005070250972579
100223,0.07329971665818366
100232,0.0798057246758907
100241,0.09938509741880722
100245,0.07843791020415543
100253,0.07530142614979714
100256,0.0880891579107564
100271,0.07584619699254465
100278,0.09239577334829362
100280,0.07965790834662205
100306,0.1001438326592172
100311,0.09458186615872996
100312,0.0740668853992148
100330,0.08357299742503677
100331,0.09091339361820817
100352,0.08828333622907007
100358,0.09141244885995625
100367,0.08916937926609933
100382,0.0800785170938803
100384,0.07681204232390734
100385,0.09085631611709687
100386,0.08191012910956441
100399,0.07870693316202917
100404,0.07586088781573841
100416,0.07769030075291401
100422,0.10427775637774757
100426,0.08523161113654766
100438,0.07601111752265576
100444,0.08820446677872051
100445,0.09596085701348187
100446,0.09231937201781057
100447,0.0763906031526498
100450,0.0805049155197883
100466,0.08955768767820527
100483,0.08009804247445862
100484,0.07116009852022846
100494,0.08262344438489345
100510,0.09498413118664871
100512,0.07319641076975926
100517,0.07908342131004652
100548,0.07016527173058995
100551,0.07992727308729929
100552,0.09999160277273322
100553,0.08470051614323985
100561,0.08589163573792773
100568,0.09645064667982406
100569,0.07651403245374361
100591,0.09234958651993427
100592,0.06992163448971445
100602,0.08934888799694687
100607,0.08576125078041437
100613,0.08407271720570027
100617,0.07698081760894887
100618,0.09197362011194955
100622,0.10476958761083933
100625,0.09034082818865424
100677,0.08304828618267729
100699,0.08347980868241062
100702,0.09818797321012307
100711,0.076195972539125
100729,0.10499177250496633
